TIMECODE,FADEIN,FADEOUT,FUNCTION,NAME,DURATION
00:01.000,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.400
00:01.000,NONE,NONE,Scene,BLUE STAGE WASH,00:02.400
00:03.400,NONE,NONE,Scene,BLUE STAGE WASH,00:03.900
00:07.300,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.300
00:07.300,NONE,NONE,Scene,BLUE STAGE WASH,00:02.300
00:09.600,NONE,NONE,Scene,BLUE STAGE WASH,00:03.900
00:13.600,NONE,NONE,Chaser,TAB STAGGER CHASE,00:15.600
00:13.600,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:15.600
00:29.100,NONE,NONE,Chaser,TAB STAGGER CHASE,00:15.600
00:29.100,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:15.600
00:29.100,NONE,NONE,Chaser,STAGE WASH PULSE,00:15.600
00:44.700,NONE,NONE,Chaser,TAB CHASE LOOP,00:05.400
00:44.700,NONE,NONE,Scene,LED STATIC RED/BLUE,00:05.400
00:44.700,NONE,NONE,Chaser,STAGE WASH PULSE,00:05.400
00:50.100,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
00:50.900,NONE,NONE,Chaser,BACK-FRONT CANON,00:02.300
00:50.900,NONE,NONE,Scene,LED STATIC RED/BLUE,00:02.300
00:53.200,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.900
00:53.200,NONE,NONE,Scene,SPOTLIGHT,00:03.900
00:57.100,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.300
00:57.100,NONE,NONE,Scene,LED STATIC RED/BLUE,00:02.300
00:57.100,NONE,NONE,Chaser,STAGE WASH PULSE,00:02.300
00:59.400,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.900
00:59.400,NONE,NONE,Scene,SPOTLIGHT,00:03.900
01:03.300,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.400
01:03.300,NONE,NONE,Scene,LED STATIC RED/BLUE,00:02.400
01:03.300,NONE,NONE,Chaser,STAGE WASH PULSE,00:02.400
01:05.700,NONE,NONE,Scene,LED STATIC RED/BLUE,00:04.000
01:05.700,NONE,NONE,Scene,SPOTLIGHT,00:04.000
01:09.700,NONE,NONE,Scene,CIRCUS LIGHT FORMATION 1,00:01.600
01:11.200,NONE,NONE,Scene,CIRCUS LIGHT FORMATION 2,00:01.600
01:12.800,NONE,NONE,Chaser,PULSING CHASE,00:03.100
01:12.800,NONE,NONE,Scene,SPOTLIGHT,00:03.100
01:15.900,NONE,NONE,Chaser,TAB STAGGER CHASE,00:03.100
01:15.900,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:03.100
01:15.900,NONE,NONE,Chaser,STAGE WASH PULSE,00:03.100
01:15.900,NONE,NONE,Scene,SPOTLIGHT,00:03.100
01:19.000,NONE,NONE,Chaser,TAB STAGGER CHASE,00:02.300
01:19.000,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:02.300
01:19.000,NONE,NONE,Scene,SL FOCUS,00:02.300
01:19.000,NONE,NONE,Scene,SPOTLIGHT,00:02.300
01:21.400,NONE,NONE,Chaser,TAB STAGGER CHASE,00:00.800
01:21.400,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:00.800
01:21.400,NONE,NONE,Scene,SR FOCUS,00:00.800
01:21.400,NONE,NONE,Scene,SPOTLIGHT,00:00.800
01:22.100,NONE,NONE,Chaser,TAB STAGGER CHASE,00:13.200
01:22.100,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:13.200
01:22.100,NONE,NONE,Chaser,STAGE WASH PULSE,00:13.200
01:22.100,NONE,NONE,Scene,SPOTLIGHT,00:13.200
01:35.300,NONE,NONE,Chaser,FRONT-BACK CANON CHASE,00:02.400
01:35.300,NONE,NONE,Scene,LED STATIC RED/BLUE,00:02.400
01:37.800,NONE,NONE,Scene,BLUE STAGE WASH,00:01.500
01:39.200,NONE,NONE,Scene,CIRCUS WASH,00:01.600
01:40.800,NONE,NONE,Chaser,TAB CHASE LOOP,00:09.900
01:40.800,NONE,NONE,Scene,LED STATIC RED/BLUE,00:09.900
01:40.800,NONE,NONE,Scene,HALF STAGE WASH,00:09.900
01:40.800,NONE,NONE,Chaser,WHITE PULSE CHASE,00:09.900
01:50.700,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
01:50.700,NONE,NONE,Scene,HALF STAGE WASH,00:00.800
01:51.500,NONE,NONE,Scene,CIRCUS WASH,00:01.900
01:53.400,NONE,NONE,Chaser,TAB STAGGER CHASE,00:09.500
01:53.400,NONE,NONE,Scene,LED STATIC RED/BLUE,00:09.500
01:53.400,NONE,NONE,Scene,HALF STAGE WASH,00:09.500
01:53.400,NONE,NONE,Chaser,WHITE PULSE CHASE,00:09.500
02:02.900,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
02:03.600,NONE,NONE,Scene,CIRCUS WASH,00:03.100
02:06.700,NONE,NONE,Chaser,RED WASH PULSE CHASE,00:11.400
02:06.700,NONE,NONE,Scene,SPOTLIGHT,00:11.400
02:18.100,NONE,NONE,Chaser,RED WASH PULSE CHASE,00:00.800
02:18.100,NONE,NONE,Scene,HALF STAGE WASH,00:00.800
02:18.100,NONE,NONE,Scene,SPOTLIGHT,00:00.800
02:18.800,NONE,NONE,Chaser,TAB STAGGER CHASE,00:03.000
02:18.800,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:03.000
02:18.800,NONE,NONE,Chaser,STAGE WASH PULSE,00:03.000
02:18.800,NONE,NONE,Scene,SPOTLIGHT,00:03.000
02:21.900,NONE,NONE,Chaser,TAB STAGGER CHASE,00:02.300
02:21.900,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:02.300
02:21.900,NONE,NONE,Scene,SL FOCUS,00:02.300
02:21.900,NONE,NONE,Scene,SPOTLIGHT,00:02.300
02:24.100,NONE,NONE,Chaser,TAB STAGGER CHASE,00:00.800
02:24.100,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:00.800
02:24.100,NONE,NONE,Scene,SR FOCUS,00:00.800
02:24.100,NONE,NONE,Scene,SPOTLIGHT,00:00.800
02:24.900,NONE,NONE,Chaser,TAB STAGGER CHASE,00:05.300
02:24.900,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:05.300
02:24.900,NONE,NONE,Chaser,STAGE WASH PULSE,00:05.300
02:24.900,NONE,NONE,Scene,SPOTLIGHT,00:05.300
02:29.400,NONE,NONE,Scene,BLUE STAGE WASH,00:00.700
02:30.200,NONE,NONE,Scene,CIRCUS WASH,00:00.800
02:31.000,NONE,NONE,Chaser,TAB CHASE LOOP,00:09.800
02:31.000,NONE,NONE,Scene,LED STATIC RED/BLUE,00:09.800
02:31.000,NONE,NONE,Scene,HALF STAGE WASH,00:09.800
02:31.000,NONE,NONE,Chaser,WHITE PULSE CHASE,00:09.800
02:40.800,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
02:40.800,NONE,NONE,Scene,HALF STAGE WASH,00:00.800
02:41.600,NONE,NONE,Scene,CIRCUS WASH,00:02.200
02:43.800,NONE,NONE,Chaser,TAB STAGGER CHASE,00:09.200
02:43.800,NONE,NONE,Scene,LED STATIC RED/BLUE,00:09.200
02:43.800,NONE,NONE,Scene,HALF STAGE WASH,00:09.200
02:43.800,NONE,NONE,Chaser,WHITE PULSE CHASE,00:09.200
02:53.000,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
02:53.800,NONE,NONE,Scene,CIRCUS WASH,00:01.500
02:55.300,NONE,NONE,Chaser,TAB STAGGER CHASE,00:12.500
02:55.300,NONE,NONE,Scene,LED STATIC RED/BLUE,00:12.500
02:55.300,NONE,NONE,Scene,HALF STAGE WASH,00:12.500
02:55.300,NONE,NONE,Scene,SPOTLIGHT,00:12.500
03:07.800,NONE,NONE,Chaser,TAB STAGGER CHASE,00:07.200
03:07.800,NONE,NONE,Scene,LED STATIC RED/BLUE,00:07.200
03:07.800,NONE,NONE,Scene,HALF STAGE WASH,00:07.200
03:07.800,NONE,NONE,Scene,SPOTLIGHT,00:07.200
03:15.000,NONE,NONE,Chaser,QUICK WHITE PULSE,00:06.100
03:15.000,NONE,NONE,Chaser,QUICK LED RED/BLUE PULSE,00:06.100
03:15.000,NONE,NONE,Scene,SPOTLIGHT,00:06.100
03:21.100,NONE,NONE,Scene,CIRCUS WASH,00:01.500
03:22.600,NONE,NONE,Chaser,TAB CHASE LOOP,00:09.800
03:22.600,NONE,NONE,Scene,LED STATIC RED/BLUE,00:09.800
03:22.600,NONE,NONE,Scene,HALF STAGE WASH,00:09.800
03:22.600,NONE,NONE,Chaser,WHITE PULSE CHASE,00:09.800
03:32.400,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
03:32.400,NONE,NONE,Scene,HALF STAGE WASH,00:00.800
03:33.200,NONE,NONE,Scene,CIRCUS WASH,00:02.300
03:35.500,NONE,NONE,Chaser,TAB STAGGER CHASE,00:03.600
03:35.500,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.600
03:35.500,NONE,NONE,Scene,HALF STAGE WASH,00:03.600
03:35.500,NONE,NONE,Chaser,WHITE PULSE CHASE,00:03.600
03:39.000,NONE,NONE,Scene,CIRCUS WASH,00:01.800
03:40.800,NONE,NONE,Chaser,TAB STAGGER CHASE,00:03.700
03:40.800,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.700
03:40.800,NONE,NONE,Scene,HALF STAGE WASH,00:03.700
03:40.800,NONE,NONE,Chaser,WHITE PULSE CHASE,00:03.700
03:44.500,NONE,NONE,Scene,BLUE STAGE WASH,00:00.800
03:45.400,NONE,NONE,Scene,CIRCUS WASH,00:06.000
