TIMECODE,FADEIN,FADEOUT,FUNCTION,NAME,DURATION
00:00.000,NONE,NONE,Scene,WHALE STAGE WASH,00:07.500
00:00.000,NONE,NONE,Chaser,QUICK WHITE PULSE,00:07.500
00:07.500,NONE,NONE,Scene,WHALE STAGE WASH,00:01.700
00:09.200,NONE,NONE,Scene,PINK STAGE WASH,00:01.700
00:09.200,NONE,NONE,Scene,WHALE STAGE WASH,00:01.700
00:09.200,NONE,NONE,Scene,GREEN STAGE WASH,00:01.700
00:11.000,NONE,NONE,Scene,WHALE STAGE WASH,00:03.400
00:11.000,NONE,NONE,Scene,BLUE STAGE WASH,00:03.400
00:14.300,NONE,NONE,Scene,WHALE STAGE WASH,00:06.800
00:14.300,NONE,NONE,Chaser,WHITE PULSE CHASE,00:06.800
00:21.100,NONE,NONE,Scene,CIRCUS WASH,00:05.100
00:26.200,NONE,NONE,Scene,WHALE STAGE WASH,00:05.500
00:31.700,NONE,NONE,Scene,WHALE STAGE WASH,00:36.200
00:31.700,NONE,NONE,Scene,SPOTLIGHT,00:36.200
00:31.700,NONE,NONE,Chaser,WHITE PULSE CHASE,00:36.200
01:07.900,NONE,NONE,Scene,SPOTLIGHT,00:44.000
01:07.900,NONE,NONE,Scene,GREEN STAGE WASH,00:44.000
01:51.900,NONE,NONE,Scene,WHALE STAGE WASH,00:00.300
01:51.900,NONE,NONE,Scene,LED STATIC RED,00:00.300
01:52.200,NONE,NONE,Scene,WHALE STAGE WASH,00:00.300
01:52.200,NONE,NONE,Scene,LED STATIC BLUE,00:00.300
01:52.600,NONE,NONE,Scene,FULL STAGE WASH,00:00.700
01:53.300,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
01:53.300,NONE,NONE,Scene,LED STATIC RED,00:00.400
01:53.700,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
01:53.700,NONE,NONE,Scene,LED STATIC BLUE,00:00.400
01:54.000,NONE,NONE,Scene,FULL STAGE WASH,00:00.700
01:54.800,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
01:54.800,NONE,NONE,Scene,LED STATIC RED,00:00.400
01:55.100,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
01:55.100,NONE,NONE,Scene,LED STATIC BLUE,00:00.400
01:55.500,NONE,NONE,Scene,FULL STAGE WASH,00:00.700
01:56.200,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
01:56.200,NONE,NONE,Scene,LED STATIC RED,00:00.400
01:56.600,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
01:56.600,NONE,NONE,Scene,LED STATIC BLUE,00:00.400
01:57.000,NONE,NONE,Scene,FULL STAGE WASH,00:00.700
01:57.700,NONE,NONE,Scene,WHALE STAGE WASH,00:01.600
01:57.700,NONE,NONE,Scene,LED STATIC RED,00:01.600
01:59.200,NONE,NONE,Scene,WHALE STAGE WASH,00:01.300
01:59.200,NONE,NONE,Scene,LED STATIC BLUE,00:01.300
02:00.500,NONE,NONE,Scene,FULL STAGE WASH,00:01.500
02:02.000,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
02:02.000,NONE,NONE,Scene,LED STATIC RED,00:00.400
02:02.400,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
02:02.400,NONE,NONE,Scene,LED STATIC BLUE,00:00.400
02:02.800,NONE,NONE,Scene,FULL STAGE WASH,00:00.600
02:03.400,NONE,NONE,Scene,WHALE STAGE WASH,00:01.600
02:03.400,NONE,NONE,Scene,LED STATIC RED,00:01.600
02:05.000,NONE,NONE,Scene,WHALE STAGE WASH,00:01.400
02:05.000,NONE,NONE,Scene,LED STATIC BLUE,00:01.400
02:06.400,NONE,NONE,Scene,FULL STAGE WASH,00:01.500
02:07.900,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
02:07.900,NONE,NONE,Scene,LED STATIC RED,00:00.400
02:08.300,NONE,NONE,Scene,WHALE STAGE WASH,00:00.400
02:08.300,NONE,NONE,Scene,LED STATIC RED,00:00.400
02:08.600,NONE,NONE,Scene,FULL STAGE WASH,00:00.700
02:09.300,NONE,NONE,Scene,WHALE STAGE WASH,00:01.400
02:09.300,NONE,NONE,Scene,LED STATIC RED,00:01.400
02:10.700,NONE,NONE,Scene,WHALE STAGE WASH,00:01.600
02:10.700,NONE,NONE,Scene,LED STATIC BLUE,00:01.600
02:12.300,NONE,NONE,Scene,FULL STAGE WASH,00:01.100
02:13.400,NONE,NONE,Scene,SPOTLIGHT,00:08.700
02:22.000,NONE,NONE,Scene,FULL STAGE WASH,00:06.900
02:28.900,NONE,NONE,Scene,SPOTLIGHT,00:01.600
02:30.600,NONE,NONE,Scene,FULL STAGE WASH,00:01.600
02:32.200,NONE,NONE,Chaser,PARTY CHASE,00:14.200
02:46.300,NONE,NONE,Scene,FULL STAGE WASH,00:01.800
02:48.200,NONE,NONE,Chaser,TAB STAGGER CHASE,00:14.000
02:48.200,NONE,NONE,Scene,GREEN STAGE WASH,00:14.000
03:02.200,NONE,NONE,Scene,PINK STAGE WASH,00:00.700
03:02.900,NONE,NONE,Scene,GREEN STAGE WASH,00:00.700
03:03.600,NONE,NONE,Scene,BLUE STAGE WASH,00:01.900
03:05.500,NONE,NONE,Scene,FULL STAGE WASH,00:03.200
